t,q_FL_abad,q_FL_thigh,q_FL_calf,q_FR_abad,q_FR_thigh,q_FR_calf,q_RL_abad,q_RL_thigh,q_RL_calf,q_RR_abad,q_RR_thigh,q_RR_calf,tau_FL_abad,tau_FL_thigh,tau_FL_calf,tau_FR_abad,tau_FR_thigh,tau_FR_calf,tau_RL_abad,tau_RL_thigh,tau_RL_calf,tau_RR_abad,tau_RR_thigh,tau_RR_calf,base_z
8.8200,-0.41876,-0.06698,-0.67773,0.57920,-0.05492,-0.96451,-0.51636,0.37901,-1.26346,0.44078,0.34033,-0.85978,0.380,-0.370,-0.264,-0.145,-0.391,-0.305,0.262,0.103,-0.292,-0.341,0.179,-0.193,0.8500
8.8250,-0.41876,-0.06420,-0.67772,0.57920,-0.05214,-0.96449,-0.51636,0.38178,-1.26345,0.44078,0.34310,-0.85977,0.380,-0.370,-0.265,-0.145,-0.391,-0.305,0.262,0.103,-0.292,-0.341,0.179,-0.194,0.8500
8.8300,-0.41876,-0.06143,-0.67770,0.57919,-0.04937,-0.96447,-0.51636,0.38454,-1.26343,0.44078,0.34587,-0.85975,0.380,-0.370,-0.266,-0.145,-0.391,-0.306,0.263,0.103,-0.293,-0.341,0.179,-0.194,0.8500
8.8350,-0.41876,-0.05867,-0.67768,0.57919,-0.04659,-0.96445,-0.51636,0.38729,-1.26342,0.44078,0.34863,-0.85974,0.380,-0.371,-0.266,-0.145,-0.392,-0.307,0.263,0.103,-0.293,-0.341,0.178,-0.194,0.8500
8.8400,-0.41876,-0.05591,-0.67766,0.57919,-0.04383,-0.96443,-0.51636,0.39004,-1.26341,0.44078,0.35138,-0.85973,0.380,-0.371,-0.267,-0.145,-0.392,-0.307,0.263,0.104,-0.293,-0.341,0.178,-0.195,0.8500
8.8450,-0.41876,-0.05316,-0.67764,0.57919,-0.04107,-0.96441,-0.51636,0.39278,-1.26340,0.44078,0.35413,-0.85972,0.380,-0.371,-0.267,-0.145,-0.393,-0.308,0.263,0.104,-0.294,-0.341,0.178,-0.195,0.8500
8.8500,-0.41876,-0.05042,-0.67763,0.57919,-0.03833,-0.96439,-0.51636,0.39551,-1.26338,0.44078,0.35686,-0.85971,0.380,-0.371,-0.268,-0.145,-0.393,-0.309,0.263,0.104,-0.294,-0.341,0.178,-0.195,0.8500
8.8550,-0.41876,-0.04770,-0.67761,0.57919,-0.03560,-0.96437,-0.51636,0.39822,-1.26337,0.44078,0.35958,-0.85969,0.380,-0.371,-0.268,-0.145,-0.393,-0.309,0.263,0.104,-0.294,-0.341,0.178,-0.196,0.8500
8.8600,-0.41876,-0.04499,-0.67759,0.57919,-0.03288,-0.96434,-0.51636,0.40092,-1.26336,0.44078,0.36228,-0.85968,0.380,-0.371,-0.269,-0.145,-0.394,-0.310,0.263,0.104,-0.295,-0.341,0.178,-0.196,0.8500
8.8650,-0.41876,-0.04229,-0.67757,0.57919,-0.03019,-0.96432,-0.51636,0.40360,-1.26335,0.44078,0.36497,-0.85967,0.380,-0.372,-0.270,-0.144,-0.394,-0.311,0.263,0.104,-0.295,-0.341,0.178,-0.196,0.8500
8.8700,-0.41876,-0.03962,-0.67755,0.57919,-0.02751,-0.96430,-0.51636,0.40626,-1.26334,0.44078,0.36764,-0.85966,0.380,-0.372,-0.270,-0.144,-0.394,-0.311,0.263,0.104,-0.296,-0.341,0.178,-0.197,0.8500
8.8750,-0.41876,-0.03697,-0.67753,0.57918,-0.02485,-0.96428,-0.51636,0.40890,-1.26332,0.44078,0.37028,-0.85964,0.380,-0.372,-0.271,-0.144,-0.395,-0.312,0.263,0.104,-0.296,-0.341,0.178,-0.197,0.8500
8.8800,-0.41876,-0.03435,-0.67751,0.57918,-0.02222,-0.96426,-0.51636,0.41152,-1.26331,0.44078,0.37290,-0.85963,0.380,-0.372,-0.271,-0.144,-0.395,-0.313,0.263,0.104,-0.296,-0.341,0.178,-0.198,0.8500
8.8850,-0.41876,-0.03175,-0.67749,0.57918,-0.01962,-0.96424,-0.51636,0.41411,-1.26330,0.44078,0.37550,-0.85962,0.380,-0.372,-0.272,-0.144,-0.395,-0.313,0.263,0.104,-0.297,-0.341,0.178,-0.198,0.8500
8.8900,-0.41876,-0.02918,-0.67748,0.57918,-0.01704,-0.96421,-0.51636,0.41667,-1.26329,0.44078,0.37806,-0.85961,0.380,-0.372,-0.272,-0.144,-0.395,-0.314,0.263,0.104,-0.297,-0.341,0.178,-0.198,0.8500
8.8950,-0.41876,-0.02664,-0.67746,0.57918,-0.01449,-0.96419,-0.51636,0.41921,-1.26328,0.44078,0.38060,-0.85960,0.380,-0.372,-0.273,-0.144,-0.396,-0.315,0.263,0.105,-0.297,-0.341,0.178,-0.199,0.8500
8.9000,-0.41876,-0.02413,-0.67744,0.57918,-0.01198,-0.96417,-0.51636,0.42171,-1.26326,0.44078,0.38311,-0.85958,0.380,-0.372,-0.274,-0.144,-0.396,-0.315,0.263,0.105,-0.298,-0.341,0.178,-0.199,0.8500
8.9050,-0.41876,-0.02166,-0.67742,0.57918,-0.00950,-0.96415,-0.51636,0.42417,-1.26325,0.44078,0.38558,-0.85957,0.380,-0.372,-0.274,-0.144,-0.396,-0.316,0.263,0.105,-0.298,-0.341,0.178,-0.199,0.8500
8.9100,-0.41876,-0.01922,-0.67740,0.57918,-0.00705,-0.96413,-0.51636,0.42660,-1.26324,0.44078,0.38801,-0.85956,0.380,-0.372,-0.275,-0.144,-0.396,-0.317,0.263,0.105,-0.298,-0.341,0.178,-0.200,0.8500
8.9150,-0.41874,-0.01682,-0.67738,0.57916,-0.00465,-0.96411,-0.51636,0.42900,-1.26323,0.44078,0.39041,-0.85955,0.373,-0.373,-0.275,-0.137,-0.394,-0.316,0.263,0.105,-0.299,-0.341,0.178,-0.200,0.8500
8.9200,-0.41867,-0.01445,-0.67737,0.57908,-0.00231,-0.96410,-0.51636,0.43135,-1.26322,0.44078,0.39277,-0.85954,0.359,-0.375,-0.275,-0.120,-0.390,-0.315,0.263,0.106,-0.299,-0.341,0.178,-0.200,0.8500
8.9250,-0.41856,-0.01211,-0.67735,0.57895,-0.00002,-0.96409,-0.51636,0.43366,-1.26321,0.44078,0.39508,-0.85952,0.346,-0.376,-0.275,-0.106,-0.386,-0.314,0.263,0.106,-0.299,-0.341,0.179,-0.201,0.8500
8.9300,-0.41841,-0.00982,-0.67734,0.57879,0.00221,-0.96408,-0.51636,0.43593,-1.26319,0.44078,0.39735,-0.85951,0.334,-0.377,-0.276,-0.094,-0.382,-0.314,0.263,0.106,-0.300,-0.341,0.179,-0.201,0.8500
8.9350,-0.41824,-0.00758,-0.67732,0.57861,0.00439,-0.96408,-0.51636,0.43815,-1.26318,0.44078,0.39958,-0.85950,0.325,-0.378,-0.276,-0.084,-0.379,-0.313,0.263,0.106,-0.300,-0.341,0.179,-0.201,0.8500
8.9400,-0.41806,-0.00538,-0.67731,0.57841,0.00652,-0.96408,-0.51636,0.44032,-1.26317,0.44079,0.40176,-0.85949,0.316,-0.378,-0.277,-0.075,-0.376,-0.313,0.263,0.107,-0.300,-0.341,0.179,-0.202,0.8500
8.9450,-0.41787,-0.00323,-0.67729,0.57821,0.00860,-0.96408,-0.51636,0.44245,-1.26316,0.44079,0.40389,-0.85948,0.309,-0.378,-0.278,-0.067,-0.374,-0.313,0.263,0.107,-0.301,-0.341,0.179,-0.202,0.8500
8.9500,-0.41768,-0.00114,-0.67727,0.57800,0.01062,-0.96408,-0.51636,0.44452,-1.26315,0.44079,0.40597,-0.85947,0.303,-0.378,-0.278,-0.061,-0.371,-0.313,0.263,0.107,-0.301,-0.341,0.179,-0.202,0.8500
8.9550,-0.41749,0.00091,-0.67725,0.57780,0.01259,-0.96408,-0.51636,0.44655,-1.26314,0.44079,0.40799,-0.85945,0.297,-0.378,-0.279,-0.056,-0.369,-0.312,0.263,0.108,-0.301,-0.341,0.179,-0.203,0.8500
8.9600,-0.41730,0.00289,-0.67724,0.57760,0.01450,-0.96409,-0.51636,0.44851,-1.26313,0.44079,0.40997,-0.85944,0.292,-0.378,-0.279,-0.051,-0.367,-0.312,0.263,0.108,-0.301,-0.341,0.180,-0.203,0.8500
8.9650,-0.41712,0.00482,-0.67722,0.57741,0.01636,-0.96409,-0.51636,0.45043,-1.26312,0.44079,0.41188,-0.85943,0.288,-0.378,-0.280,-0.047,-0.366,-0.312,0.263,0.108,-0.302,-0.341,0.180,-0.203,0.8500
8.9700,-0.41694,0.00670,-0.67720,0.57723,0.01817,-0.96409,-0.51636,0.45228,-1.26311,0.44079,0.41374,-0.85942,0.285,-0.378,-0.280,-0.044,-0.364,-0.312,0.263,0.109,-0.302,-0.341,0.180,-0.204,0.8500
8.9750,-0.41677,0.00851,-0.67719,0.57706,0.01991,-0.96409,-0.51636,0.45408,-1.26310,0.44079,0.41555,-0.85941,0.281,-0.378,-0.281,-0.041,-0.362,-0.312,0.263,0.109,-0.302,-0.341,0.180,-0.204,0.8500
8.9800,-0.41661,0.01026,-0.67717,0.57690,0.02160,-0.96410,-0.51636,0.45582,-1.26309,0.44079,0.41729,-0.85940,0.279,-0.378,-0.281,-0.039,-0.361,-0.312,0.263,0.109,-0.303,-0.341,0.181,-0.204,0.8500
8.9850,-0.41646,0.01195,-0.67716,0.57675,0.02323,-0.96410,-0.51636,0.45749,-1.26308,0.44079,0.41897,-0.85939,0.276,-0.378,-0.281,-0.037,-0.359,-0.311,0.263,0.110,-0.303,-0.341,0.181,-0.204,0.8500
8.9900,-0.41632,0.01358,-0.67714,0.57661,0.02480,-0.96410,-0.51636,0.45910,-1.26307,0.44079,0.42058,-0.85938,0.274,-0.378,-0.282,-0.035,-0.358,-0.311,0.263,0.110,-0.303,-0.341,0.181,-0.205,0.8500
8.9950,-0.41619,0.01515,-0.67712,0.57648,0.02630,-0.96411,-0.51636,0.46065,-1.26306,0.44079,0.42214,-0.85937,0.272,-0.378,-0.282,-0.034,-0.357,-0.311,0.263,0.111,-0.303,-0.341,0.181,-0.205,0.8500
9.0000,-0.41606,0.01665,-0.67711,0.57636,0.02775,-0.96411,-0.51636,0.46214,-1.26305,0.44079,0.42362,-0.85936,0.271,-0.378,-0.283,-0.033,-0.356,-0.311,0.263,0.111,-0.303,-0.341,0.182,-0.205,0.8500
9.0050,-0.41595,0.01808,-0.67709,0.57626,0.02913,-0.96412,-0.51636,0.46355,-1.26304,0.44079,0.42505,-0.85935,0.270,-0.378,-0.283,-0.032,-0.355,-0.311,0.263,0.112,-0.304,-0.341,0.182,-0.206,0.8500
9.0100,-0.41585,0.01945,-0.67708,0.57616,0.03044,-0.96412,-0.51636,0.46490,-1.26303,0.44079,0.42640,-0.85934,0.269,-0.378,-0.283,-0.032,-0.354,-0.311,0.263,0.112,-0.304,-0.341,0.183,-0.206,0.8500
9.0150,-0.41575,0.02074,-0.67706,0.57607,0.03168,-0.96412,-0.51636,0.46618,-1.26302,0.44079,0.42768,-0.85933,0.268,-0.378,-0.284,-0.031,-0.353,-0.311,0.263,0.113,-0.304,-0.341,0.183,-0.206,0.8500
9.0200,-0.41567,0.02197,-0.67705,0.57599,0.03286,-0.96413,-0.51636,0.46739,-1.26301,0.44079,0.42890,-0.85932,0.268,-0.379,-0.284,-0.031,-0.352,-0.311,0.263,0.113,-0.304,-0.341,0.183,-0.206,0.8500
9.0250,-0.41559,0.02313,-0.67704,0.57593,0.03397,-0.96413,-0.51636,0.46853,-1.26301,0.44079,0.43004,-0.85931,0.268,-0.379,-0.285,-0.031,-0.351,-0.311,0.263,0.114,-0.305,-0.341,0.184,-0.206,0.8500
9.0300,-0.41552,0.02422,-0.67702,0.57587,0.03502,-0.96413,-0.51636,0.46960,-1.26300,0.44079,0.43111,-0.85930,0.267,-0.379,-0.285,-0.032,-0.350,-0.310,0.263,0.114,-0.305,-0.341,0.184,-0.207,0.8500
9.0350,-0.41546,0.02523,-0.67701,0.57582,0.03599,-0.96414,-0.51636,0.47060,-1.26299,0.44079,0.43211,-0.85929,0.268,-0.379,-0.286,-0.032,-0.349,-0.310,0.263,0.115,-0.305,-0.341,0.185,-0.207,0.8500
9.0400,-0.41541,0.02617,-0.67699,0.57577,0.03689,-0.96414,-0.51636,0.47152,-1.26298,0.44079,0.43304,-0.85929,0.268,-0.379,-0.286,-0.033,-0.349,-0.310,0.263,0.115,-0.305,-0.341,0.185,-0.207,0.8500
9.0450,-0.41537,0.02704,-0.67698,0.57574,0.03772,-0.96414,-0.51636,0.47237,-1.26297,0.44079,0.43389,-0.85928,0.269,-0.379,-0.287,-0.034,-0.348,-0.310,0.263,0.116,-0.305,-0.341,0.186,-0.207,0.8500
9.0500,-0.41533,0.02783,-0.67696,0.57571,0.03847,-0.96415,-0.51636,0.47314,-1.26297,0.44079,0.43467,-0.85927,0.269,-0.379,-0.287,-0.035,-0.348,-0.310,0.263,0.116,-0.305,-0.341,0.186,-0.207,0.8500
9.0550,-0.41530,0.02855,-0.67695,0.57569,0.03915,-0.96415,-0.51637,0.47384,-1.26296,0.44079,0.43537,-0.85926,0.270,-0.379,-0.287,-0.036,-0.347,-0.310,0.263,0.117,-0.306,-0.341,0.187,-0.208,0.8500
9.0600,-0.41528,0.02919,-0.67693,0.57568,0.03976,-0.96415,-0.51637,0.47446,-1.26295,0.44079,0.43599,-0.85925,0.271,-0.379,-0.288,-0.037,-0.347,-0.310,0.263,0.117,-0.306,-0.341,0.187,-0.208,0.8500
9.0650,-0.41527,0.02976,-0.67692,0.57567,0.04030,-0.96415,-0.51637,0.47501,-1.26295,0.44079,0.43654,-0.85925,0.273,-0.379,-0.288,-0.038,-0.346,-0.310,0.263,0.118,-0.306,-0.341,0.188,-0.208,0.8500
9.0700,-0.41526,0.03025,-0.67690,0.57567,0.04076,-0.96415,-0.51637,0.47548,-1.26294,0.44079,0.43701,-0.85924,0.274,-0.379,-0.289,-0.038,-0.346,-0.311,0.263,0.119,-0.306,-0.341,0.188,-0.208,0.8500
9.0750,-0.41526,0.03066,-0.67689,0.57567,0.04115,-0.96415,-0.51637,0.47587,-1.26293,0.44079,0.43741,-0.85923,0.274,-0.379,-0.290,-0.039,-0.346,-0.311,0.263,0.119,-0.306,-0.341,0.189,-0.208,0.8500
9.0800,-0.41526,0.03099,-0.67687,0.57566,0.04146,-0.96415,-0.51637,0.47618,-1.26293,0.44079,0.43773,-0.85922,0.275,-0.379,-0.290,-0.039,-0.346,-0.311,0.263,0.120,-0.306,-0.341,0.189,-0.209,0.8500
9.0850,-0.41526,0.03125,-0.67685,0.57567,0.04170,-0.96414,-0.51637,0.47642,-1.26292,0.44079,0.43796,-0.85922,0.275,-0.380,-0.291,-0.040,-0.346,-0.312,0.263,0.120,-0.306,-0.341,0.190,-0.209,0.8500
9.0900,-0.41526,0.03143,-0.67683,0.57567,0.04186,-0.96414,-0.51637,0.47658,-1.26292,0.44079,0.43813,-0.85921,0.277,-0.380,-0.291,-0.041,-0.347,-0.312,0.263,0.121,-0.307,-0.341,0.191,-0.209,0.8500
9.0950,-0.41527,0.03154,-0.67682,0.57569,0.04196,-0.96414,-0.51637,0.47667,-1.26292,0.44079,0.43822,-0.85921,0.278,-0.382,-0.291,-0.043,-0.350,-0.311,0.263,0.118,-0.305,-0.341,0.187,-0.207,0.8500
9.1000,-0.41529,0.03159,-0.67681,0.57571,0.04200,-0.96414,-0.51637,0.47671,-1.26292,0.44079,0.43825,-0.85921,0.279,-0.388,-0.290,-0.045,-0.355,-0.310,0.263,0.112,-0.304,-0.341,0.183,-0.206,0.8500
9.1050,-0.41530,0.03158,-0.67680,0.57573,0.04198,-0.96415,-0.51637,0.47668,-1.26292,0.44079,0.43823,-0.85922,0.281,-0.393,-0.290,-0.047,-0.360,-0.310,0.263,0.107,-0.304,-0.341,0.178,-0.206,0.8500
9.1100,-0.41533,0.03151,-0.67679,0.57576,0.04189,-0.96415,-0.51637,0.47660,-1.26293,0.44079,0.43813,-0.85922,0.283,-0.398,-0.290,-0.049,-0.365,-0.310,0.263,0.103,-0.304,-0.341,0.174,-0.206,0.8500
9.1150,-0.41536,0.03137,-0.67678,0.57579,0.04174,-0.96416,-0.51637,0.47644,-1.26293,0.44079,0.43797,-0.85923,0.285,-0.403,-0.291,-0.052,-0.369,-0.310,0.263,0.099,-0.304,-0.341,0.171,-0.206,0.8500
9.1200,-0.41539,0.03116,-0.67677,0.57584,0.04152,-0.96416,-0.51637,0.47621,-1.26293,0.44079,0.43774,-0.85923,0.288,-0.407,-0.292,-0.054,-0.373,-0.310,0.263,0.095,-0.305,-0.341,0.167,-0.206,0.8500
9.1250,-0.41543,0.03088,-0.67676,0.57589,0.04123,-0.96415,-0.51637,0.47592,-1.26293,0.44079,0.43743,-0.85923,0.290,-0.410,-0.293,-0.058,-0.377,-0.311,0.263,0.092,-0.305,-0.341,0.164,-0.207,0.8500
9.1300,-0.41548,0.03052,-0.67675,0.57594,0.04086,-0.96415,-0.51637,0.47554,-1.26293,0.44079,0.43706,-0.85923,0.293,-0.414,-0.293,-0.061,-0.380,-0.312,0.263,0.090,-0.305,-0.341,0.162,-0.207,0.8500
9.1350,-0.41553,0.03009,-0.67673,0.57601,0.04042,-0.96415,-0.51637,0.47509,-1.26293,0.44079,0.43660,-0.85922,0.296,-0.417,-0.294,-0.064,-0.383,-0.312,0.263,0.087,-0.306,-0.341,0.159,-0.208,0.8500
9.1400,-0.41559,0.02958,-0.67671,0.57608,0.03991,-0.96414,-0.51637,0.47457,-1.26292,0.44079,0.43607,-0.85922,0.300,-0.419,-0.295,-0.068,-0.386,-0.313,0.263,0.086,-0.306,-0.341,0.157,-0.208,0.8500
9.1450,-0.41566,0.02899,-0.67669,0.57615,0.03932,-0.96413,-0.51637,0.47396,-1.26292,0.44079,0.43547,-0.85921,0.303,-0.421,-0.296,-0.072,-0.388,-0.313,0.263,0.084,-0.307,-0.341,0.156,-0.208,0.8500
9.1500,-0.41574,0.02833,-0.67667,0.57624,0.03865,-0.96412,-0.51637,0.47328,-1.26291,0.44079,0.43478,-0.85921,0.307,-0.423,-0.297,-0.077,-0.390,-0.314,0.263,0.083,-0.307,-0.341,0.155,-0.209,0.8500
9.1550,-0.41582,0.02759,-0.67665,0.57633,0.03790,-0.96411,-0.51637,0.47252,-1.26290,0.44079,0.43402,-0.85920,0.311,-0.425,-0.298,-0.081,-0.391,-0.314,0.263,0.082,-0.307,-0.341,0.154,-0.209,0.8500
9.1600,-0.41590,0.02676,-0.67663,0.57643,0.03708,-0.96410,-0.51637,0.47167,-1.26290,0.44079,0.43318,-0.85919,0.315,-0.426,-0.298,-0.086,-0.393,-0.315,0.263,0.082,-0.307,-0.341,0.153,-0.209,0.8500
9.1650,-0.41600,0.02586,-0.67661,0.57654,0.03618,-0.96409,-0.51637,0.47075,-1.26289,0.44079,0.43226,-0.85919,0.320,-0.426,-0.299,-0.091,-0.394,-0.316,0.263,0.082,-0.308,-0.341,0.153,-0.210,0.8500
9.1700,-0.41610,0.02488,-0.67659,0.57665,0.03520,-0.96407,-0.51637,0.46975,-1.26288,0.44079,0.43126,-0.85918,0.325,-0.427,-0.300,-0.096,-0.394,-0.316,0.263,0.082,-0.308,-0.341,0.153,-0.210,0.8500
9.1750,-0.41621,0.02383,-0.67657,0.57677,0.03415,-0.96406,-0.51637,0.46867,-1.26288,0.44079,0.43019,-0.85917,0.329,-0.427,-0.300,-0.101,-0.395,-0.317,0.263,0.083,-0.308,-0.341,0.153,-0.210,0.8500
9.1800,-0.41633,0.02269,-0.67655,0.57690,0.03301,-0.96405,-0.51637,0.46752,-1.26287,0.44079,0.42903,-0.85916,0.335,-0.427,-0.301,-0.106,-0.395,-0.317,0.263,0.083,-0.308,-0.341,0.153,-0.210,0.8500
9.1850,-0.41645,0.02148,-0.67652,0.57704,0.03181,-0.96403,-0.51637,0.46628,-1.26286,0.44079,0.42781,-0.85916,0.340,-0.427,-0.302,-0.112,-0.396,-0.318,0.263,0.084,-0.308,-0.341,0.154,-0.211,0.8500
9.1900,-0.41658,0.02019,-0.67650,0.57718,0.03053,-0.96402,-0.51637,0.46498,-1.26286,0.44079,0.42650,-0.85915,0.345,-0.426,-0.302,-0.118,-0.396,-0.318,0.263,0.085,-0.308,-0.341,0.155,-0.211,0.8500
9.1950,-0.41671,0.01883,-0.67648,0.57733,0.02917,-0.96400,-0.51637,0.46359,-1.26285,0.44079,0.42513,-0.85914,0.351,-0.425,-0.303,-0.124,-0.396,-0.319,0.263,0.086,-0.308,-0.341,0.155,-0.211,0.8500
9.2000,-0.41686,0.01739,-0.67646,0.57748,0.02775,-0.96399,-0.51637,0.46214,-1.26285,0.44079,0.42368,-0.85914,0.356,-0.424,-0.303,-0.129,-0.395,-0.319,0.263,0.087,-0.308,-0.341,0.157,-0.211,0.8500
9.2050,-0.41700,0.01589,-0.67644,0.57763,0.02625,-0.96397,-0.51637,0.46062,-1.26284,0.44079,0.42216,-0.85913,0.362,-0.424,-0.304,-0.135,-0.395,-0.319,0.263,0.089,-0.308,-0.341,0.158,-0.211,0.8500
9.2100,-0.41715,0.01431,-0.67642,0.57779,0.02468,-0.96396,-0.51637,0.45902,-1.26284,0.44079,0.42057,-0.85913,0.367,-0.423,-0.304,-0.140,-0.394,-0.320,0.263,0.090,-0.308,-0.341,0.159,-0.211,0.8500
9.2150,-0.41730,0.01266,-0.67641,0.57795,0.02305,-0.96395,-0.51637,0.45736,-1.26284,0.44079,0.41891,-0.85912,0.372,-0.422,-0.304,-0.145,-0.393,-0.320,0.263,0.091,-0.308,-0.341,0.160,-0.211,0.8500
9.2200,-0.41745,0.01095,-0.67639,0.57811,0.02134,-0.96393,-0.51637,0.45563,-1.26283,0.44079,0.41719,-0.85912,0.376,-0.421,-0.305,-0.150,-0.392,-0.320,0.263,0.092,-0.308,-0.341,0.162,-0.211,0.8500
9.2250,-0.41760,0.00918,-0.67637,0.57827,0.01957,-0.96392,-0.51637,0.45384,-1.26283,0.44079,0.41540,-0.85912,0.380,-0.421,-0.305,-0.154,-0.390,-0.320,0.263,0.094,-0.308,-0.341,0.163,-0.211,0.8500
9.2300,-0.41775,0.00735,-0.67636,0.57843,0.01773,-0.96391,-0.51637,0.45199,-1.26283,0.44079,0.41355,-0.85912,0.384,-0.421,-0.305,-0.158,-0.388,-0.321,0.263,0.095,-0.308,-0.341,0.165,-0.211,0.8500
9.2350,-0.41789,0.00546,-0.67634,0.57858,0.01583,-0.96390,-0.51637,0.45008,-1.26283,0.44079,0.41163,-0.85911,0.388,-0.421,-0.305,-0.162,-0.386,-0.321,0.263,0.096,-0.308,-0.341,0.166,-0.211,0.8500
9.2400,-0.41803,0.00352,-0.67633,0.57873,0.01386,-0.96389,-0.51637,0.44811,-1.26283,0.44079,0.40966,-0.85911,0.391,-0.421,-0.305,-0.165,-0.384,-0.321,0.263,0.098,-0.308,-0.341,0.167,-0.210,0.8500
9.2450,-0.41817,0.00152,-0.67632,0.57887,0.01183,-0.96388,-0.51637,0.44608,-1.26283,0.44079,0.40763,-0.85911,0.394,-0.421,-0.306,-0.167,-0.381,-0.321,0.263,0.099,-0.308,-0.341,0.169,-0.210,0.8500
9.2500,-0.41830,-0.00053,-0.67631,0.57900,0.00974,-0.96387,-0.51637,0.44400,-1.26283,0.44079,0.40555,-0.85911,0.397,-0.421,-0.306,-0.170,-0.379,-0.321,0.263,0.100,-0.308,-0.341,0.170,-0.210,0.8500
9.2550,-0.41842,-0.00265,-0.67630,0.57911,0.00761,-0.96386,-0.51637,0.44187,-1.26283,0.44079,0.40342,-0.85911,0.397,-0.418,-0.305,-0.166,-0.380,-0.321,0.263,0.101,-0.308,-0.341,0.171,-0.210,0.8500
9.2600,-0.41852,-0.00483,-0.67630,0.57918,0.00544,-0.96385,-0.51637,0.43968,-1.26283,0.44079,0.40123,-0.85912,0.395,-0.412,-0.304,-0.161,-0.383,-0.322,0.263,0.102,-0.307,-0.341,0.173,-0.210,0.8500
9.2650,-0.41860,-0.00707,-0.67630,0.57923,0.00324,-0.96384,-0.51637,0.43745,-1.26283,0.44079,0.39899,-0.85912,0.393,-0.407,-0.303,-0.156,-0.385,-0.322,0.263,0.103,-0.307,-0.341,0.174,-0.210,0.8500
9.2700,-0.41866,-0.00938,-0.67630,0.57926,0.00100,-0.96383,-0.51637,0.43518,-1.26284,0.44079,0.39671,-0.85912,0.391,-0.402,-0.302,-0.152,-0.388,-0.322,0.263,0.104,-0.307,-0.341,0.175,-0.209,0.8500
9.2750,-0.41871,-0.01174,-0.67631,0.57927,-0.00128,-0.96382,-0.51637,0.43286,-1.26284,0.44079,0.39439,-0.85913,0.389,-0.397,-0.302,-0.150,-0.390,-0.323,0.263,0.104,-0.307,-0.341,0.176,-0.209,0.8500
9.2800,-0.41874,-0.01416,-0.67632,0.57928,-0.00359,-0.96381,-0.51637,0.43049,-1.26284,0.44079,0.39202,-0.85913,0.386,-0.392,-0.301,-0.149,-0.392,-0.323,0.263,0.105,-0.307,-0.341,0.177,-0.209,0.8500
9.2850,-0.41876,-0.01663,-0.67633,0.57928,-0.00595,-0.96381,-0.51637,0.42809,-1.26285,0.44079,0.38961,-0.85913,0.384,-0.388,-0.300,-0.148,-0.393,-0.323,0.263,0.106,-0.307,-0.341,0.178,-0.209,0.8500
9.2900,-0.41877,-0.01914,-0.67634,0.57929,-0.00833,-0.96380,-0.51637,0.42565,-1.26285,0.44079,0.38716,-0.85914,0.383,-0.383,-0.299,-0.148,-0.394,-0.323,0.263,0.106,-0.306,-0.341,0.179,-0.208,0.8500
9.2950,-0.41878,-0.02169,-0.67636,0.57929,-0.01076,-0.96379,-0.51637,0.42318,-1.26285,0.44079,0.38468,-0.85914,0.382,-0.379,-0.298,-0.148,-0.395,-0.323,0.263,0.107,-0.306,-0.341,0.180,-0.208,0.8500
9.3000,-0.41878,-0.02428,-0.67638,0.57929,-0.01322,-0.96378,-0.51637,0.42067,-1.26286,0.44079,0.38216,-0.85915,0.382,-0.375,-0.297,-0.148,-0.396,-0.323,0.263,0.107,-0.306,-0.341,0.181,-0.208,0.8500
9.3050,-0.41879,-0.02690,-0.67640,0.57928,-0.01571,-0.96378,-0.51637,0.41813,-1.26286,0.44079,0.37961,-0.85915,0.381,-0.372,-0.295,-0.147,-0.397,-0.324,0.263,0.108,-0.306,-0.341,0.181,-0.208,0.8500
9.3100,-0.41879,-0.02956,-0.67642,0.57928,-0.01823,-0.96377,-0.51637,0.41556,-1.26287,0.44079,0.37704,-0.85916,0.381,-0.369,-0.294,-0.147,-0.397,-0.324,0.263,0.108,-0.306,-0.341,0.182,-0.207,0.8500
9.3150,-0.41879,-0.03224,-0.67645,0.57928,-0.02078,-0.96376,-0.51637,0.41296,-1.26287,0.44079,0.37443,-0.85917,0.381,-0.366,-0.293,-0.147,-0.397,-0.324,0.263,0.108,-0.305,-0.341,0.183,-0.207,0.8500
9.3200,-0.41879,-0.03495,-0.67648,0.57928,-0.02337,-0.96376,-0.51637,0.41034,-1.26288,0.44079,0.37180,-0.85917,0.381,-0.363,-0.292,-0.147,-0.397,-0.324,0.263,0.109,-0.305,-0.341,0.183,-0.207,0.8500
9.3250,-0.41879,-0.03768,-0.67651,0.57928,-0.02598,-0.96375,-0.51637,0.40769,-1.26289,0.44079,0.36914,-0.85918,0.381,-0.361,-0.291,-0.147,-0.397,-0.324,0.263,0.109,-0.305,-0.341,0.184,-0.207,0.8500
9.3300,-0.41879,-0.04042,-0.67654,0.57928,-0.02861,-0.96375,-0.51637,0.40503,-1.26289,0.44079,0.36647,-0.85919,0.381,-0.359,-0.289,-0.147,-0.397,-0.324,0.263,0.109,-0.305,-0.341,0.184,-0.206,0.8500
